Name,Price/Hour, Price,Time,Rating,Genre
FINAL FANTASY VII,0.48,31.99,66.9,86.89%,RPG
Hollow Knight,0.09,4.99,56.3,96.07%,Metroidvania
Batman: Arkham Knight,0.2,10,50.8,87.73%,Action-Adventure
Hades,0.12,4.99,40.7,97.12%,RPG
NieR Replicant ,0.63,15.74,24.9,86.43%,RPG
Hades II,0.61,14.99,24.6,93.31%,RPG
FINAL FANTASY XV,1.26,27.99,22.2,81.90%,RPG
High On Life,1.22,18.49,15.2,86.93%,Action-Adventure
Wallpaper Engine,0.23,2.99,13.2,97.26%,Utility
Tomb Raider,0.68,7.49,11,95.00%,Action-Adventure
Fallen Order,5.06,39.99,7.9,87.51%,Action-Adventure
Golf It!,0.35,2.41,6.9,88.68%,Sports
Call of Juarez Gunslinger,1.56,9.99,6.4,93.15%,Shooter
Stumble Guys,-,0,5,84.00%,Party
ELDEN RING,10.14,47.99,4.7,92.26%,RPG
Deducto,-,0,4,86.58%,Deduction
Prison Life,-,0,3.2,76.27%,Simulation
Rainbow Six Siege X,-,0,1.7,82.70%,Shooter
Plants vs. Zombies,3.4,4.99,1.5,96.27%,Strategy
Slappyball,-,0,1.4,81.32%,Sports
Figment,15.79,19.48,1.2,84.41%,Adventure
Danmachi,-,0,1.2,83.48%,Shooter
Stick Fight: The Game,0.94,1.07,1.1,92.24%,Fighting
Counter-Strike 2,-,0,1.1,86.20%,Shooter
Predecessor,-,0,0.98,71.56%,MOBA
Chicken Invaders,-,0,0.8,87.51%,Shooter
Redmatch 2,-,0,0.67,90.87%,Shooter
Hand Simulator,1.99,1.99,0.58,82.45%,Simulation
Rio Reincarnation,18.99,18.99,0.57,91.14%,VN
Phasmophobia,7.86,7.86,0.32,95.01%,Horror
Terraria,5.79,5.79,0.28,96.80%,Sandbox 
RUSSIAPHOBIA,0.89,0.89,0.2,67.38%,Adventure
Pulls out the sword,-,0,0.13,88.12%,Casual
Eternal Return,-,0,0.08,75.43%,MOBA
Voices from the Sea,-,0,0.08,87.75%,Visual Novel
MultiVersus,-,0,0.05,75.49%,Fighting
Mandagon,-,0,0.02,91.65%,Adventure
Combat Master,-,0,2,86.74%,Shooter
Legend of the Outlaw Mage,-,0,1.34,86.45%,Action-Adventure
Capcom Arcade Stadium,-,0,3,54.01%,Arcade
Intravenous,-,2.09,1.65,87.02%,Shooter
Borderlands: Tales,-,39.99,0.78,34.72%,Adventure
KEO,-,9.99,0.34,50.57%,Shooter
MEGAJUMP,-,0,1.22,71.16%,Arcade
Tell Me Why,-,0,2.8,80.49%,Adventure
Shadow of the Tomb Raider,-,0,2.56,82.79%,Action-Adventure
Borderlands GOTY ,-,29.99,7.95,79.03%,Shooter
Aimlabs,-,0,3.2,90.82%,Utility
NEXT JUMP,-,0.62,1.22,70.61%,Strategy
Black Desert,-,3.59,3.7,73.13%,RPG
Cinderella Phenomenon,-,0,1.12,92.52%,VN
Warhammer ,-,1.89,2.09,79.80%,Strategy
Beholder,-,7.79,1.82,89.83%,Simulation
Deceit,-,0,3.07,78.12%,Social Deduction
TGV,-,0,0.07,39.47%,Simulation
ARK,-,0,6.45,65.33%,Survival
Borderlands 3,-,59.99,10.02,79.91%,Shooter
Hue,-,1.59,4.05,89.91%,Puzzle
Dead Island Riptide ,-,14.99,1.23,70.10%,Action-Adventure
ARK: Survival Evolved,-,14.99,3.45,82.94%,Survival
Tales from the Borderlands,-,19.99,5.78,91.90%,Adventure
The Witcher 3: Wild Hunt,-,5.99,0.98,95.38%,RPG
Borderlands: The Pre-Sequel,-,39.99,23.45,76.12%,Shooter
Dungeon of the ENDLESS,-,10.19,2.33,83.47%,Strategy
RPG Maker XP,-,24.99,2.12,89.45%,Utility
Batman: Arkham Origins,-,10,9.58,88.04%,Action-Adventure
Project Zomboid,-,10.49,0.33,93.25%,Survival
Borderlands 2,-,19.99,90.23,87.35%,Shooter
Borderlands GOTY,-,29.99,10.03,85.97%,Shooter
